Skill
Python
Java
C
C++
SQL
MySQL
HTML
CSS
JavaScript
React
Node.js
Git
GitHub
Docker
Kubernetes
AWS
Azure
Machine Learning
Deep Learning
Artificial Intelligence
Data Science
Pandas
NumPy
Matplotlib
Scikit-learn
TensorFlow
Keras
OpenCV
NLP
Streamlit
Flask
Django
Power BI
Excel
Linux
.NET
DotNet
ASP.NET
ASP.NET Core
C#
VB.NET
Entity Framework
ADO.NET
VS Code
Figma
Postman
Bootstrap
Tailwind CSS
REST API
Responsive Design
UI/UX
Problem Solving
Communication
Leadership
Teamwork
Time Management
